epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0002,1.63297,2.58174,1.4351,0.70251,0.70571,0.73118,0.35474,1.65076,2.51185,1.64012,0.000664103,0.000664103,0.000664103
2,139.744,1.59205,1.38141,1.38375,0.85387,0.88589,0.91122,0.50391,1.40419,1.57517,1.3257,0.00128197,0.00128197,0.00128197
3,206.069,1.50683,1.26785,1.33103,0.95684,0.86542,0.9281,0.54267,1.37639,1.20923,1.29904,0.00185096,0.00185096,0.00185096
4,271.575,1.42762,1.19005,1.28686,0.94881,0.91291,0.96408,0.64536,1.07919,0.77012,1.07582,0.00178,0.00178,0.00178
5,336.86,1.33305,1.08186,1.23276,0.89739,0.90691,0.95564,0.65871,1.05815,0.76806,1.12069,0.00170667,0.00170667,0.00170667
6,402.247,1.29244,1.01223,1.19915,0.95701,0.93589,0.97686,0.69303,0.99068,0.69353,1.05066,0.00163333,0.00163333,0.00163333
7,467.565,1.24783,0.95896,1.17173,0.97194,0.93608,0.98258,0.67333,1.03471,0.64122,1.05766,0.00156,0.00156,0.00156
8,533.5,1.20112,0.94838,1.1537,0.98742,0.94317,0.98797,0.75386,0.83725,0.71822,1.00849,0.00148667,0.00148667,0.00148667
9,598.97,1.15182,0.90033,1.12977,0.99076,0.96997,0.99114,0.66111,1.09259,0.62784,1.01805,0.00141333,0.00141333,0.00141333
10,664.167,1.13948,0.86051,1.11263,0.97503,0.97297,0.98849,0.76658,0.80216,0.56253,0.97789,0.00134,0.00134,0.00134
11,729.876,1.0971,0.83692,1.09678,0.99865,0.96997,0.99339,0.82633,0.70535,0.50416,0.96529,0.00126667,0.00126667,0.00126667
12,795.324,1.08526,0.81702,1.09218,0.98694,0.96697,0.9924,0.7419,0.90042,0.58741,0.97174,0.00119333,0.00119333,0.00119333
13,860.585,1.04736,0.79915,1.07937,1,0.96608,0.99097,0.8147,0.71038,0.47354,0.94218,0.00112,0.00112,0.00112
14,926.043,1.0307,0.77596,1.06822,1,0.96876,0.99398,0.79624,0.75363,0.49736,0.91521,0.00104667,0.00104667,0.00104667
15,991.247,1.01479,0.76662,1.05894,0.99777,0.96997,0.99429,0.81597,0.70111,0.45628,0.92036,0.000973333,0.000973333,0.000973333
16,1056.49,0.98679,0.7317,1.04711,0.99386,0.97259,0.99416,0.8318,0.67773,0.43894,0.90226,0.0009,0.0009,0.0009
17,1121.96,0.96715,0.72918,1.03666,0.99844,0.97598,0.99422,0.84647,0.58064,0.43225,0.87992,0.000826667,0.000826667,0.000826667
18,1202.18,0.86778,0.59953,1.00953,0.99082,0.97245,0.99417,0.82984,0.68611,0.43162,0.8991,0.000753333,0.000753333,0.000753333
19,1266.83,0.84733,0.58194,1.00105,0.99328,0.97598,0.99455,0.84249,0.64767,0.42909,0.88155,0.00068,0.00068,0.00068
20,1331.19,0.81383,0.56123,0.98055,0.99095,0.98605,0.99482,0.81564,0.7214,0.44003,0.90558,0.000606667,0.000606667,0.000606667
21,1395.96,0.81007,0.54792,0.97942,0.98469,0.96576,0.99281,0.84644,0.62082,0.43721,0.87619,0.000533333,0.000533333,0.000533333
22,1461.28,0.76997,0.52774,0.96014,0.99086,0.98198,0.99467,0.88167,0.53473,0.37095,0.84615,0.00046,0.00046,0.00046
23,1526,0.74713,0.51626,0.94787,0.99091,0.98175,0.99439,0.85107,0.60445,0.39018,0.86251,0.000386667,0.000386667,0.000386667
24,1590.67,0.73168,0.49842,0.9447,0.99687,0.955,0.98914,0.85077,0.58497,0.41097,0.86472,0.000313333,0.000313333,0.000313333
25,1655.53,0.70588,0.48761,0.93727,0.99826,0.96697,0.99244,0.84372,0.63908,0.39284,0.85729,0.00024,0.00024,0.00024
26,1720.58,0.67655,0.46921,0.92821,0.96311,0.94086,0.97837,0.8412,0.59353,0.43496,0.8551,0.000166667,0.000166667,0.000166667
27,1785.48,0.67131,0.46219,0.92892,0.97466,0.92389,0.97933,0.8567,0.56358,0.42968,0.84487,9.33333e-05,9.33333e-05,9.33333e-05
