epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.499,1.5808,2.22651,1.37368,0.91266,0.9039,0.94113,0.50209,1.46839,1.45341,1.39855,0.000663194,0.000663194,0.000663194
2,273.793,1.56603,1.32167,1.36132,0.79291,0.83937,0.86364,0.44132,1.56533,1.44115,1.4984,0.00129225,0.00129225,0.00129225
3,449.408,1.50665,1.24345,1.33071,0.91472,0.93994,0.97141,0.59007,1.28241,0.95951,1.26676,0.00188358,0.00188358,0.00188358
4,628.273,1.42564,1.1435,1.28604,0.84432,0.8306,0.90676,0.56576,1.22404,1.10924,1.31861,0.00183029,0.00183029,0.00183029
5,804.676,1.32291,1.06405,1.22082,0.95902,0.93694,0.98334,0.65656,1.0756,0.72774,1.0977,0.00177371,0.00177371,0.00177371
6,985.704,1.25983,0.98274,1.18484,0.96039,0.96396,0.98619,0.63799,1.17951,0.68204,1.09965,0.00171714,0.00171714,0.00171714
7,1162.41,1.23708,0.95889,1.16661,0.97566,0.96292,0.98395,0.62443,1.17261,0.70628,1.13196,0.00166057,0.00166057,0.00166057
8,1347.42,1.18881,0.92677,1.14211,0.99078,0.96801,0.98899,0.70958,0.97716,0.61155,1.06827,0.001604,0.001604,0.001604
9,1526.46,1.14299,0.87174,1.12456,0.97394,0.95796,0.98723,0.77117,0.79838,0.54806,1.01696,0.00154743,0.00154743,0.00154743
10,1712.21,1.13631,0.86943,1.12175,0.9789,0.97509,0.99381,0.79249,0.76546,0.52509,0.98272,0.00149086,0.00149086,0.00149086
11,1891.05,1.09394,0.83481,1.09726,0.99072,0.96155,0.99178,0.79679,0.76221,0.53467,0.99349,0.00143429,0.00143429,0.00143429
12,2079.62,1.08431,0.81513,1.08022,0.98629,0.95796,0.99138,0.7992,0.74657,0.52942,0.95837,0.00137771,0.00137771,0.00137771
13,2264.5,1.04567,0.79215,1.07194,0.99397,0.96096,0.99145,0.73591,0.8942,0.5499,1.03522,0.00132114,0.00132114,0.00132114
14,2433.17,1.03881,0.80147,1.06411,0.99519,0.96096,0.98971,0.7755,0.8894,0.5444,0.98421,0.00126457,0.00126457,0.00126457
15,2597.79,1.02224,0.75691,1.05512,0.97577,0.97598,0.99337,0.81735,0.70993,0.49285,0.9178,0.001208,0.001208,0.001208
16,2763.85,1.0121,0.74854,1.045,0.99116,0.97598,0.99391,0.78451,0.76983,0.49243,0.9212,0.00115143,0.00115143,0.00115143
17,2928.34,0.98316,0.72692,1.03672,0.98954,0.97297,0.99441,0.82398,0.70279,0.46219,0.93263,0.00109486,0.00109486,0.00109486
18,3092.57,0.99652,0.73791,1.04587,0.98481,0.97347,0.99349,0.80716,0.73353,0.47092,0.91347,0.00103829,0.00103829,0.00103829
19,3257.82,0.9675,0.71878,1.03023,0.99091,0.96997,0.9914,0.83244,0.64259,0.48096,0.93797,0.000981714,0.000981714,0.000981714
20,3426.6,0.96105,0.70139,1.02914,1,0.96902,0.99319,0.84314,0.66756,0.43096,0.90538,0.000925143,0.000925143,0.000925143
21,3593.82,0.93971,0.70677,1.02607,0.99092,0.98362,0.99464,0.76803,0.84893,0.46344,0.92789,0.000868571,0.000868571,0.000868571
22,3759.42,0.93595,0.69,1.0243,0.98039,0.97898,0.99346,0.85494,0.59405,0.43295,0.87877,0.000812,0.000812,0.000812
23,3926.99,0.90385,0.67053,1.00661,1,0.97568,0.99423,0.84188,0.65603,0.40247,0.89079,0.000755429,0.000755429,0.000755429
24,4093.53,0.88106,0.66177,1.0069,0.979,0.97976,0.99319,0.80909,0.74165,0.44518,0.90921,0.000698857,0.000698857,0.000698857
25,4259.03,0.87971,0.64399,0.99295,0.98576,0.97297,0.99345,0.81522,0.71562,0.43018,0.89535,0.000642286,0.000642286,0.000642286
26,4439.34,0.78235,0.54241,0.96446,0.97886,0.97598,0.98605,0.82684,0.66984,0.45351,0.89777,0.000585714,0.000585714,0.000585714
27,4612.86,0.7609,0.52891,0.95178,0.98146,0.95372,0.98117,0.83252,0.67771,0.47604,0.89478,0.000529143,0.000529143,0.000529143
28,4783.66,0.73561,0.51284,0.94061,0.98226,0.94294,0.97948,0.80381,0.74181,0.49954,0.89231,0.000472571,0.000472571,0.000472571
29,4961.2,0.71086,0.50485,0.93461,0.97548,0.95582,0.97911,0.82311,0.66283,0.50191,0.86884,0.000416,0.000416,0.000416
30,5139.06,0.68613,0.48198,0.92298,0.93016,0.87387,0.9619,0.81156,0.66931,0.6305,0.8706,0.000359429,0.000359429,0.000359429
31,5315.85,0.68717,0.45964,0.92605,0.97525,0.94653,0.98329,0.82973,0.66051,0.47626,0.87107,0.000302857,0.000302857,0.000302857
32,5496.64,0.66715,0.44208,0.91634,0.96327,0.95195,0.97868,0.82207,0.69704,0.45303,0.86761,0.000246286,0.000246286,0.000246286
33,5677.3,0.65188,0.43578,0.91411,0.94388,0.84985,0.9612,0.83726,0.59047,0.60385,0.85503,0.000189714,0.000189714,0.000189714
34,5857.38,0.6368,0.41705,0.90518,0.91355,0.77477,0.9268,0.81468,0.56065,0.77392,0.8553,0.000133143,0.000133143,0.000133143
35,6037.59,0.61783,0.41552,0.90361,0.9723,0.84342,0.96002,0.84241,0.58627,0.56978,0.85007,7.65714e-05,7.65714e-05,7.65714e-05
