epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2766,1.94974,3.99935,1.21246,0.53631,0.17188,0.10733,0.05948,1.69201,3.02327,1.20037,8.83636e-05,8.83636e-05,8.83636e-05
2,198.237,1.60484,2.10519,1.07728,0.62044,0.30186,0.33209,0.19963,1.56305,1.56475,1.15022,0.000176156,0.000176156,0.000176156
3,299.999,1.54539,1.63999,1.0593,0.77627,0.41239,0.4788,0.28757,1.52936,1.34448,1.1437,0.000261722,0.000261722,0.000261722
4,417.898,1.50217,1.37568,1.06288,0.68949,0.52436,0.55405,0.33284,1.49146,1.10194,1.14133,0.000259976,0.000259976,0.000259976
5,517.259,1.4445,1.21821,1.03954,0.75553,0.54702,0.60536,0.36615,1.5183,1.04751,1.13441,0.000256635,0.000256635,0.000256635
6,646.478,1.39552,1.0922,1.02477,0.86529,0.55409,0.66969,0.42541,1.447,0.95617,1.10922,0.000253294,0.000253294,0.000253294
7,775.734,1.36808,1.04311,1.01066,0.84939,0.60293,0.71521,0.4589,1.41523,0.89346,1.08677,0.000249953,0.000249953,0.000249953
8,901.126,1.37143,1.0644,1.01491,0.84429,0.67667,0.73629,0.4645,1.42532,0.84762,1.11358,0.000246611,0.000246611,0.000246611
9,1005,1.31715,0.95831,1.00238,0.78286,0.69094,0.73769,0.47665,1.41219,0.84452,1.10588,0.00024327,0.00024327,0.00024327
10,1140.17,1.32411,0.92166,1.00424,0.86877,0.65428,0.74897,0.47436,1.41462,0.84563,1.07056,0.000239929,0.000239929,0.000239929
11,1235.33,1.31806,0.8874,0.99726,0.85212,0.70077,0.76533,0.49869,1.36774,0.77945,1.06142,0.000236587,0.000236587,0.000236587
12,1342.35,1.30416,0.91832,0.98962,0.83812,0.68944,0.77927,0.5106,1.35948,0.77457,1.06477,0.000233246,0.000233246,0.000233246
13,1449.31,1.26388,0.84329,0.98231,0.87633,0.73495,0.78974,0.51963,1.37456,0.74138,1.0689,0.000229905,0.000229905,0.000229905
14,1562.21,1.26785,0.84859,0.97956,0.88411,0.69268,0.77941,0.51378,1.33642,0.76299,1.04387,0.000226564,0.000226564,0.000226564
15,1674.31,1.22106,0.78541,0.96759,0.9314,0.69775,0.80312,0.52122,1.38574,0.73779,1.06662,0.000223223,0.000223223,0.000223223
16,1796.78,1.24838,0.80102,0.98075,0.87274,0.73644,0.80594,0.53249,1.33358,0.7087,1.06336,0.000219881,0.000219881,0.000219881
17,1928.58,1.24383,0.79875,0.97214,0.88101,0.69656,0.80083,0.52897,1.37843,0.7827,1.05284,0.00021654,0.00021654,0.00021654
18,2032.74,1.20395,0.76185,0.96732,0.90859,0.73529,0.81191,0.54081,1.31151,0.67884,1.05702,0.000213199,0.000213199,0.000213199
19,2151.61,1.2003,0.75371,0.95454,0.89851,0.74633,0.81787,0.54606,1.31367,0.68095,1.05679,0.000209858,0.000209858,0.000209858
20,2247.28,1.21741,0.77775,0.9584,0.93469,0.72377,0.81818,0.55782,1.30992,0.68523,1.03868,0.000206516,0.000206516,0.000206516
21,2348.85,1.17894,0.74198,0.95619,0.8995,0.73581,0.81275,0.55117,1.31782,0.67269,1.03003,0.000203175,0.000203175,0.000203175
22,2480.97,1.16899,0.7321,0.95305,0.79049,0.79104,0.84162,0.56953,1.28106,0.66712,1.03135,0.000199834,0.000199834,0.000199834
23,2600.73,1.14746,0.70951,0.94156,0.92789,0.79016,0.86417,0.58002,1.29753,0.64981,1.02112,0.000196492,0.000196492,0.000196492
24,2701.58,1.14174,0.71232,0.94542,0.89716,0.79986,0.87207,0.60491,1.25829,0.65116,1.01377,0.000193151,0.000193151,0.000193151
25,2798.35,1.12884,0.70321,0.94045,0.85901,0.80638,0.86124,0.58685,1.24211,0.64634,1.00607,0.00018981,0.00018981,0.00018981
26,2916.06,1.10304,0.66806,0.93093,0.88307,0.81535,0.86355,0.58473,1.23211,0.62415,0.99868,0.000186469,0.000186469,0.000186469
27,3016.84,1.12743,0.677,0.93718,0.94071,0.74833,0.86365,0.57971,1.27649,0.62478,1.02604,0.000183128,0.000183128,0.000183128
28,3134.91,1.09207,0.65866,0.92734,0.93301,0.79279,0.88842,0.6265,1.23095,0.60663,1.0033,0.000179786,0.000179786,0.000179786
29,3272.22,1.10128,0.66879,0.92882,0.83139,0.86134,0.90375,0.6262,1.22754,0.61183,1.00174,0.000176445,0.000176445,0.000176445
30,3402.86,1.09376,0.66877,0.92633,0.93323,0.77812,0.88723,0.61939,1.2083,0.59486,1.00544,0.000173104,0.000173104,0.000173104
31,3533.57,1.05927,0.63839,0.91406,0.9308,0.76285,0.90845,0.63285,1.19924,0.60743,1.01026,0.000169763,0.000169763,0.000169763
32,3633.75,1.08917,0.63975,0.92832,0.90459,0.82798,0.92171,0.64642,1.18729,0.58859,0.98913,0.000166421,0.000166421,0.000166421
33,3741.49,1.0681,0.62479,0.92853,0.96255,0.75,0.87659,0.60331,1.19371,0.59083,0.9904,0.00016308,0.00016308,0.00016308
34,3837.48,1.05375,0.61021,0.91874,0.92256,0.81951,0.91371,0.63776,1.23513,0.59645,1.00229,0.000159739,0.000159739,0.000159739
35,3965.07,1.04124,0.61499,0.91163,0.90532,0.83944,0.92172,0.62636,1.25028,0.59018,1.01642,0.000156397,0.000156397,0.000156397
36,4097.27,1.03892,0.6194,0.91856,0.91104,0.79815,0.90415,0.62978,1.1539,0.57601,0.9614,0.000153056,0.000153056,0.000153056
