epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.141,1.60024,2.27639,1.40572,0.65635,0.7399,0.70754,0.33936,1.65755,1.75474,1.73693,0.000663194,0.000663194,0.000663194
2,276.471,1.53262,1.29742,1.34877,0.81504,0.86486,0.89056,0.42907,1.59088,1.21702,1.71548,0.00129225,0.00129225,0.00129225
3,448.982,1.46046,1.21693,1.30114,0.89852,0.87742,0.93939,0.57136,1.2873,1.0151,1.33368,0.00188358,0.00188358,0.00188358
4,587.274,1.37525,1.10403,1.25187,0.84646,0.92711,0.94569,0.62814,1.13516,0.755,1.20341,0.00183029,0.00183029,0.00183029
5,737.478,1.29713,1.0352,1.20467,0.99115,0.95495,0.98775,0.61713,1.15908,0.68774,1.09523,0.00177371,0.00177371,0.00177371
6,922.519,1.2421,0.96979,1.17694,0.96672,0.95195,0.98695,0.71593,0.9708,0.64091,1.07954,0.00171714,0.00171714,0.00171714
7,1108.64,1.2175,0.94838,1.15798,0.95167,0.95796,0.97766,0.63355,1.19274,0.66739,1.07875,0.00166057,0.00166057,0.00166057
8,1326.71,1.16675,0.896,1.1277,0.97392,0.95495,0.98524,0.71514,0.93619,0.62488,0.99918,0.001604,0.001604,0.001604
9,1544.19,1.13429,0.86982,1.11566,0.96657,0.955,0.99108,0.78718,0.78168,0.53631,0.98533,0.00154743,0.00154743,0.00154743
10,1760.31,1.11522,0.84432,1.10649,0.98995,0.96396,0.99295,0.79562,0.78959,0.51008,0.98535,0.00149086,0.00149086,0.00149086
11,1931.8,1.06294,0.80078,1.07794,0.98475,0.96977,0.9913,0.81288,0.71358,0.51155,0.96006,0.00143429,0.00143429,0.00143429
12,2101.56,1.05894,0.80031,1.07165,0.9969,0.96656,0.9925,0.79642,0.75551,0.49739,0.97776,0.00137771,0.00137771,0.00137771
13,2322.22,1.02705,0.76827,1.06031,0.98751,0.96096,0.99238,0.76009,0.84097,0.53281,0.98159,0.00132114,0.00132114,0.00132114
14,2535.95,1.0136,0.76757,1.05491,0.99691,0.96916,0.99389,0.79974,0.76542,0.47646,0.93299,0.00126457,0.00126457,0.00126457
15,2756.05,1.01004,0.74996,1.05805,0.97411,0.95495,0.99035,0.7807,0.83156,0.50749,0.96923,0.001208,0.001208,0.001208
16,2975.74,1.00909,0.73925,1.04398,0.98811,0.96396,0.9865,0.80766,0.7338,0.50213,0.91989,0.00115143,0.00115143,0.00115143
17,3194.92,0.96783,0.71633,1.03523,0.99898,0.96997,0.99381,0.81816,0.73358,0.43254,0.91214,0.00109486,0.00109486,0.00109486
18,3413.83,0.97603,0.72212,1.03768,0.99688,0.97598,0.99473,0.78259,0.83579,0.47459,0.92696,0.00103829,0.00103829,0.00103829
19,3599.43,0.95145,0.69821,1.02183,1,0.95828,0.99287,0.82871,0.66854,0.44152,0.89925,0.000981714,0.000981714,0.000981714
20,3803.72,0.94034,0.68886,1.01855,0.99694,0.97689,0.99396,0.84805,0.62616,0.42186,0.88987,0.000925143,0.000925143,0.000925143
21,4011.35,0.92283,0.68581,1.01861,0.99603,0.96697,0.99411,0.81347,0.76414,0.4438,0.92686,0.000868571,0.000868571,0.000868571
22,4189.05,0.92873,0.67957,1.01979,0.99691,0.9686,0.99402,0.84924,0.64805,0.39771,0.89866,0.000812,0.000812,0.000812
23,4397.37,0.89699,0.65316,1.00349,0.99389,0.97693,0.99464,0.84539,0.63041,0.39058,0.88975,0.000755429,0.000755429,0.000755429
24,4593.1,0.87557,0.64619,1.0038,0.9944,0.97598,0.99479,0.83221,0.69722,0.42011,0.89653,0.000698857,0.000698857,0.000698857
25,4795.3,0.8689,0.6291,0.98809,0.98486,0.97697,0.98997,0.84536,0.62426,0.40894,0.87107,0.000642286,0.000642286,0.000642286
26,5007.19,0.78469,0.53606,0.96255,0.98755,0.95297,0.98911,0.84348,0.66344,0.45782,0.89494,0.000585714,0.000585714,0.000585714
27,5201.56,0.75567,0.51772,0.95179,0.97426,0.90938,0.97372,0.84089,0.6191,0.52948,0.88621,0.000529143,0.000529143,0.000529143
28,5392.23,0.72739,0.5084,0.93927,0.98803,0.93093,0.9827,0.83512,0.65007,0.46722,0.87827,0.000472571,0.000472571,0.000472571
29,5585.18,0.71652,0.49196,0.93662,0.96748,0.89336,0.97232,0.82256,0.68412,0.50095,0.87418,0.000416,0.000416,0.000416
30,5774.66,0.68814,0.48345,0.92169,0.98773,0.93994,0.98384,0.83649,0.69148,0.43791,0.88563,0.000359429,0.000359429,0.000359429
31,5938.83,0.67328,0.45993,0.92089,0.98059,0.91042,0.97841,0.84325,0.63043,0.48699,0.86448,0.000302857,0.000302857,0.000302857
32,6126.64,0.66603,0.4414,0.91786,0.98338,0.88857,0.95932,0.843,0.59019,0.56687,0.85124,0.000246286,0.000246286,0.000246286
33,6291.31,0.65391,0.43256,0.91324,0.97781,0.79409,0.93139,0.8077,0.60563,0.79136,0.86009,0.000189714,0.000189714,0.000189714
34,6482,0.6273,0.41442,0.90211,0.97181,0.82813,0.94755,0.84881,0.53804,0.65813,0.84711,0.000133143,0.000133143,0.000133143
35,6673.92,0.61975,0.40566,0.90623,0.98567,0.82627,0.95011,0.83824,0.57592,0.6308,0.84807,7.65714e-05,7.65714e-05,7.65714e-05
